text,label,split
căn_hộ 33 m2 chủ nhà thích phá vỡ nguyên_tắc,12,train
bức ảnh phản_ánh tình_trạng hoả_hoạn khủng_khiếp tàn_phá lá phổi xanh amazon,8,train
đêm nay văn_hậu sân heerenveen,9,train
thách_thức bủa_vây danh_hài ngoại_đạo thắng_cử tổng_thống ukraine,8,train
ý_tưởng iwatch kết_hợp iphone 6,0,train
tác_dụng hệ_thống phanh abs xe nào cũng_nên,11,train
ronaldo đón sinh_nhật 35 tôi thừa sức đá đến tuổi 40,9,train
cặp bố con trông anh_em song_sinh,12,train
du_khách châu_á chiếm 76 tổng_lượng khách quốc_tế đến việt_nam,5,train
ám_ảnh quá_khứ tôi không_thể gần_gũi bạn trai,12,train
hàng_loạt sinh_vật biển chết kamchatka lb nga,4,train
trăn hai đầu ở cà_mau,10,train
ba nhóm nhạc hàn_quốc đến việt_nam,3,train
miền bắc nắng_nóng đến hết chủ_nhật,10,train
lập đoàn giám_sát tài_sản giám_đốc công_an đà_nẵng lê_văn_tam,10,train
trang thắng trong đêm nhạc sơn_tuyền hãy nghe tôi hát,3,train
giang_hồ tuyên_bố đàn_em ở tù chủ quán cà_phê yên,6,train
đệ nhất phu_nhân syria tuyên_bố chiến_thắng bệnh ung_thư vú,8,train
35 người_dân đi hái măng ở nghệ_an mất liên_lạc,10,train
tin nhắn trong đêm phó giám_đốc khiến nữ nhân_viên chết lặng,12,train
kẻ sát_hại vợ_con khóc nức_nở xin_lỗi mẹ đầu_thú,6,train
hồ thuỷ_điện hoà_bình cạn nhất trong 30 năm,10,train
giải bóng_đá phủi ngoại_hạng hà_nội bán bản_quyền truyền_hình,9,train
bồ cũ leonardo_dicaprio lần đầu lộ bụng bầu,3,train
clip tình_huống nổi_bật trận m u brighton,9,train
ông trump mỹ xây thêm bệnh_viện tâm_thần đối_phó nạn xả súng,8,train
mùa vàng mù_cang_chải nhìn cao,1,train
bất_thường thương_lái tranh_giành mua vảy cá ở miền tây,5,train
10 thành_phố kế_hoạch khám_phá châu_âu 2018,1,train
hải_dương tiếp_nhận em bé nghi viêm phổi vũ_hán,7,train
tôn_vinh 147 sản_phẩm dịch_vụ tiêu_biểu tp hcm,5,train
phạt lang_vườn học lớp 7 phá_thai chui 50 triệu đồng,10,train
cách nói ép ai làm,2,train
rào_chắn kín_mít ở mỹ giờ bầu_cử,8,train
nối dài tình_yêu sách phát_triển văn_hoá đọc cộng_đồng,3,train
giá bán_lẻ xăng_dầu giữ_nguyên,5,train
thoát_vị đĩa_đệm nỗi lo tái_phát phẫu_thuật,7,train
mua ôtô sự_kiện lớn trong đời người,11,train
tìm thấy ấn triện bằng vàng nguyên_chất vô_cùng quý_hiếm nặng gần 8kg,1,train
ngôi làng xiêu_vẹo ở_anh,12,train
kia_morning đời 2008 giá 275 triệu mua,11,train
phòng_ngừa táo_bón trẻ ăn dặm,7,train
porsche_cayenne 2018 giảm tới 200 kg,11,train
chán chồng an_phận mức lương 5 triệu đồng,12,train
thiếu_nữ hà_thành khoe lưng trần trong nắng sớm,12,train
công_nghệ_cao trong chăn_nuôi bò thu_hoạch sữa cô gái hà_lan,5,train
ca_nô chìm vịnh nha_trang hai người tử_vong,10,train
chôn tiền xuống đất ông lão cay_đắng mất hơn tỷ đồng,8,train
khách say đánh bảo_vệ đuổi vợ khỏi phòng,1,train
mất cân_bằng giới_tính sinh xu_hướng ổn_định,7,train
ngân_hàng shb tiếp_sức doanh_nghiệp siêu nhỏ,5,train
việt_nam nhân nuôi thành_công chủng giống tảo xoắn spirulina,4,train
ánh_viên về chót chung_kết 400m tự_do nữ,9,train
nhận hối_lộ cán_bộ sở lđ tb xh lĩnh 15 năm tù,6,train
sao rolls royce bà diệp đẳng_cấp trường_tồn thời_gian,11,train
tài_xế xe_tải sa_thải làm nước bắn người đi đường,8,train
nhà thời thơ_ấu giữa rừng cây angelina_jolie,12,train
airpods_pro kệ cuối tháng,0,train
lần đầu_tiên học_sinh lớp 10 giành huy_chương vàng olympic_toán quốc_tế,2,train
quay video lén váy du_khách người đàn_ông tử_vong bắt,12,train
ninh_dương_lan_ngọc tôi hát dở,3,train
ông cao_xuân_ninh xin từ_chức chủ_tịch hđqt eximbank,5,train
làm thế_nào tóc tích điện trời lạnh,4,train
người đàn_ông chuyên_chế_tác sa_bàn về chiến_tranh,10,train
đại_học y tokyo nhận ứng_viên nữ đánh trượt,2,train
thầy_giáo vàng trường chuyên_lam_sơn câu_chuyện buồn tấm huy_chương vàng quốc_tế học_trò,2,train
luộc trứng đơn_giản bằng lò_vi_sóng,12,train
bố trung_vệ tiến_dũng đấm tivi u23 việt_nam thổi phạt_đền,10,train
dự_kiến thi thpt quốc_gia 2019 ngày 25 đến 27 6,2,train
giá_bitcoin lao dốc tin_đồn sắp chịu thuế,0,train
trường phạt học_sinh đẽo gạch mái nhà giữa trời nắng,2,train
tỷ_giá ngoại_tệ ngày 10 6 ngóng_fed quyết_định usd biến_động mạnh,5,train
lê_phương thanh_thức_hoá cô_dâu chú_rể,3,train
real_madrid vua kiếm tiền barca vượt mặt mu,9,train
máy_gia_tốc lớn phát_hiện hạt vật_chất mới,4,train
siêu cây việt_nam giá 23 tỷ khiến giới chơi cây sửng_sốt,5,train
thang_máy triệu usd dùng dây_cáp ở đức,4,train
món quà đặc_biệt người chồng anh tặng cô vợ tật_nguyền,12,train
thái_lan hơn 125 năm,1,train
tỷ_giá ngoại_tệ ngày 10 10 usd đứng ở mức cao euro suy_yếu,5,train
mới 27 tuổi người_mẫu việt cao 1m88 đi 5 châu_lục gần 30 nước,3,train
cha tử_vong con trai bị_thương trong vụ sập taluy ở đà_lạt,10,train
giám_đốc sở văn_hoá thể_thao làm giám_đốc sở nội_vụ tp hcm,10,train
kỳ_lạ xe_máy người lái tự quay hàng chục vòng giữa đường,11,train
smartphone màn_hình gập thứ hai samsung lộ diện,0,train
điểm_danh món ăn vặt siêu hấp_dẫn ngày chớm đông hà_nội,7,train
học_sinh chuyển cấp phụ_huynh chuẩn_bị chống sốc con,2,train
apple trở_thành thương_hiệu máy_ảnh phổ_biến thứ hai flick,0,train
chung_kết champions_league công_thần liverpool chọn real_madrid,9,train
đà_nẵng tăng_cường phòng_dịch đảm_bảo an_toàn kỳ thi nghiệp thpt 2020,2,train
máy_móc nhập_khẩu hàng trăm tỷ đồng đắp chiếu,5,train
ufo xuất_hiện núi_lửa phun trào,4,train
phức_tạp số_phận siêu xe 26 tỷ tuấn_hưng lái đi bão,11,train
ăn loại bánh trung_thu vô_cùng nguy_hại sức_khoẻ,7,train
bảo_vệ môi_trường amsterdam cấm xe chạy bằng xăng dầu_diesel,11,train
nữ_viện_sĩ việt_nam đầu_tiên nhận danh_hiệu iass ngôi_sao vernadski,2,train
con chủ khai_thác cát sỏi thừa_nhận đánh 2 nhà_báo ở thái_nguyên,6,train
hàng_loạt vụ cướp ngân_hàng bộ công_an đưa cảnh_báo,6,train
biểu_hiện kỳ_quặc thiên_tài,4,train
đà_nẵng lập đường_dây_nóng nhận phản_ánh vệ_sinh an_toàn thực_phẩm,7,train
gọt dừa điệu_nghệ cùi lẫn nước,12,train
thực_hiện cơ_chế lương đặc_thù đến hết 2020,10,train
ca_khúc thiếu_nhi nổi_tiếng nhạc_sĩ phong_nhã,3,train
lừa chạy trường quân_sự 800 triệu bỏ trốn,6,train
_son lập cú đúp trong chiến_thắng tottenham,9,train
mùng 1 tết miền bắc miền trung đón xuân trong mưa miền nam nắng đẹp,10,train
olympus e m 1 mark ii máy mirrorless chụp 60 hình giây,0,train
chuyển viện người nghi viêm phổi vũ_hán,7,train
thói_quen dùng bồn_cầu giúp gia_chủ phát_hiện người lạ trong nhà,12,train
bệnh_viện đà_nẵng kiểm_điểm kíp trực làm thai_phụ phiền_lòng,7,train
đơn_vị nào quyền phạt xe đỗ vỉa_hè,11,train
đi tìm một_nửa nàng thiên_thần victoria s secret nóng_bỏng nhất,3,train
mẹ đỗ_nhật_nam thu_phục con bằng câu nói thông_minh,12,train
mỹ nga hợp_tác xây trạm vũ_trụ bay quanh mặt_trăng,4,train
monsanto bồi_thường kỷ_lục hơn 2 tỉ usd nạn_nhân ung_thư,7,train
hlv miura tôi hài_lòng kết_quả trận đấu,9,train
giá vàng thế_giới vượt 2 000 usd,5,train
nga lần đầu công_bố clip thử_nghiệm siêu ngư_lôi,8,train
cầu thép 1 200 tấn ở trung_quốc dịch_chuyển 105 m,4,train
thủ_môn bửu_ngọc khẳng_định cố_tình triệt_hạ duy_long,9,train
cầu_vồng kéo_dài 9 tiếng lập kỷ_lục thế_giới,4,train
cứu sống sáu trẻ đuối nước biển trà_vinh,10,train
dàn sao nhí bố ơi mình đi đâu thế ngoại_hình thay_đổi 7 năm,3,train
